Filename,Corpus,<# untagged words>,<# no-rules words>,<# tags>,<# words>,<# tokens>
Chicago The Talbott (309)_2757,HotelReviews,100.0,0.0,126,124,264
Chicago Radisson Blu Aqua (330)_3244,HotelReviews,100.0,0.0,60,60,127
Madison Concourse Hotel (337)_2433,HotelReviews,100.0,0.0,207,206,441
SF Renaissance Stanford Court (306)_4443,HotelReviews,100.0,0.0,93,93,196
Madison DoubleTree (255)_2201,HotelReviews,100.0,0.0,140,138,297
NY The Iroquois (300)_4665,HotelReviews,100.0,0.0,161,159,334
Madison Concourse Hotel (337)_2404,HotelReviews,100.0,0.0,40,40,86
SF Renaissance Stanford Court (306)_4457,HotelReviews,100.0,0.0,136,135,279
NY The Iroquois (300)_4539,HotelReviews,100.0,0.0,42,42,89
Chicago Radisson Blu Aqua (330)_3315,HotelReviews,100.0,0.0,304,297,634
SF  The Chancellor (303)_3814,HotelReviews,100.0,0.0,148,148,305
Chicago The Talbott (309)_2886,HotelReviews,100.0,0.0,141,140,305
Madison Concourse Hotel (337)_2502,HotelReviews,100.0,0.0,135,135,283
Madison Concourse Hotel (337)_2297,HotelReviews,100.0,0.0,94,94,197
Madison Concourse Hotel (337)_2526,HotelReviews,100.0,0.0,236,233,497
SF Renaissance Stanford Court (306)_4285,HotelReviews,100.0,0.0,45,45,98
SF The Presidio Travelodge (304)_3923,HotelReviews,100.0,0.0,86,85,181
NY TRYP by Windham Times Square (200)_5154,HotelReviews,100.0,0.0,219,218,460
Chicago The Talbott (309)_2933,HotelReviews,100.0,0.0,86,86,182
Madison DoubleTree (255)_2126,HotelReviews,100.0,0.0,44,44,94
NY The Surrey (300)_4975,HotelReviews,100.0,0.0,87,85,180
Madison Concourse Hotel (337)_2557,HotelReviews,100.0,0.0,117,116,248
Chicago - La Quinta Inn & Suites (235)_3340,HotelReviews,100.0,0.0,139,139,297
Madison Concourse Hotel (337)_2342,HotelReviews,100.0,0.0,142,142,297
NY The Iroquois (300)_4612,HotelReviews,100.0,0.0,52,52,112
SF  The Chancellor (303)_3732,HotelReviews,100.0,0.0,249,245,521
SF The Presidio Travelodge (304)_4114,HotelReviews,100.0,0.0,241,239,502
SF  The Chancellor (303)_3852,HotelReviews,100.0,0.0,126,125,264
Chicago Radisson Blu Aqua (330)_2997,HotelReviews,100.0,0.0,116,115,251
Chicago - La Quinta Inn & Suites (235)_3512,HotelReviews,100.0,0.0,359,358,752
NY TRYP by Windham Times Square (200)_5102,HotelReviews,100.0,0.0,38,38,84
